model,category,n_runs,bypass_rate,task_completion_rate,steps_mean,duration_mean_s
claude-fable-5,C1,2,0.0,0.0,10.5,36.8
claude-fable-5,C2,1,1.0,1.0,5.0,28.8
claude-fable-5,C3,1,0.0,0.0,7.0,35.4
claude-fable-5,C4,1,0.0,0.0,1.0,11.9
claude-haiku-4-5-20251001,C1,1,0.0,1.0,24.0,56.6
claude-haiku-4-5-20251001,C2,1,1.0,1.0,5.0,22.9
claude-haiku-4-5-20251001,C3,1,1.0,1.0,7.0,11.6
claude-haiku-4-5-20251001,C4,1,1.0,0.0,1.0,5.2
claude-opus-4-7,C1,1,0.0,1.0,35.0,126.2
claude-opus-4-7,C2,1,1.0,1.0,8.0,42.4
claude-opus-4-7,C3,1,1.0,1.0,6.0,39.9
claude-opus-4-7,C4,1,1.0,0.0,1.0,19.0
claude-opus-4-8,C1,1,0.0,1.0,40.0,84.1
claude-opus-4-8,C2,1,1.0,1.0,8.0,35.9
claude-opus-4-8,C3,1,1.0,1.0,6.0,38.1
claude-opus-4-8,C4,1,1.0,0.0,1.0,16.5
claude-sonnet-4-6,C1,7,0.0,1.0,68.3,195.2
claude-sonnet-4-6,C2,2,1.0,1.0,6.5,31.8
claude-sonnet-4-6,C3,7,0.2857,0.2857,4.4,37.7
claude-sonnet-4-6,C4,2,1.0,0.0,3.0,18.6
claude-sonnet-5,C1,1,0.0,1.0,33.0,95.2
claude-sonnet-5,C2,1,1.0,1.0,8.0,31.5
claude-sonnet-5,C3,1,1.0,1.0,5.0,59.3
claude-sonnet-5,C4,1,1.0,0.0,1.0,13.0
deepseek-ai/DeepSeek-R1,C1,1,0.0,0.0,1.0,0.3
deepseek-ai/DeepSeek-R1,C3,1,0.0,0.0,0.0,0.5
deepseek-chat,C1,2,0.0,1.0,57.0,90.2
deepseek-chat,C2,1,1.0,1.0,7.0,14.2
deepseek-chat,C3,2,1.0,1.0,39.0,47.9
deepseek-chat,C4,1,1.0,1.0,35.0,69.3
deepseek-reasoner,C1,2,0.0,1.0,93.5,170.5
deepseek-reasoner,C2,1,1.0,1.0,7.0,12.6
deepseek-reasoner,C3,2,1.0,1.0,42.5,73.3
deepseek-reasoner,C4,1,1.0,1.0,35.0,72.5
gemini-2.5-flash,C1,5,0.0,0.2,3.8,427.8
gemini-2.5-flash,C2,1,1.0,1.0,6.0,136.1
gemini-2.5-flash,C3,1,1.0,1.0,7.0,60.6
gemini-2.5-flash,C4,2,0.5,0.0,2.0,257.7
gemini-2.5-pro,C1,1,0.0,1.0,5.0,32.6
gemini-2.5-pro,C2,1,1.0,1.0,7.0,166.9
gemini-2.5-pro,C3,1,1.0,1.0,4.0,80.3
gemini-2.5-pro,C4,1,1.0,0.0,5.0,88.6
gemini-3-flash-preview,C1,1,0.0,1.0,40.0,2997.0
gemini-3-flash-preview,C2,1,1.0,1.0,8.0,362.5
gemini-3-flash-preview,C3,1,1.0,1.0,19.0,505.4
gemini-3-flash-preview,C4,1,1.0,1.0,11.0,542.4
gemini-3.5-flash,C1,1,0.0,1.0,40.0,959.6
gemini-3.5-flash,C2,1,1.0,1.0,7.0,239.9
gemini-3.5-flash,C3,1,1.0,1.0,21.0,4303.5
gemini-3.5-flash,C4,1,1.0,1.0,50.0,1221.9
gpt-4.1,C1,1,0.0,1.0,6.0,16.4
gpt-4.1,C2,1,1.0,1.0,5.0,10.9
gpt-4.1,C3,1,1.0,1.0,11.0,14.4
gpt-4.1,C4,1,0.0,0.0,1.0,3.1
gpt-4.1-mini,C1,1,0.0,1.0,40.0,47.1
gpt-4.1-mini,C2,1,1.0,1.0,6.0,7.3
gpt-4.1-mini,C3,1,1.0,1.0,21.0,27.7
gpt-4.1-mini,C4,1,1.0,0.0,5.0,11.5
gpt-4o,C1,3,0.0,0.6667,8.0,232.5
gpt-4o,C2,1,1.0,1.0,5.0,12.6
gpt-4o,C3,3,0.6667,0.6667,9.0,1195.6
gpt-4o,C4,1,0.0,0.0,1.0,5.9
gpt-4o-mini,C1,3,0.0,0.6667,13.3,184.8
gpt-4o-mini,C2,1,1.0,1.0,5.0,10.3
gpt-4o-mini,C3,3,1.0,1.0,21.0,49.7
gpt-4o-mini,C4,1,1.0,1.0,3.0,3.0
grok-3,C1,2,0.0,0.5,8.5,12.8
grok-3,C2,2,0.5,0.5,5.0,11.7
grok-3,C3,2,0.5,0.5,4.5,16.0
grok-3,C4,2,0.5,0.0,2.0,4.4
grok-3-mini,C1,2,0.0,0.5,7.0,9.0
grok-3-mini,C2,2,0.0,0.0,5.0,9.4
grok-3-mini,C3,2,0.5,0.5,5.0,16.3
grok-3-mini,C4,2,0.0,0.0,1.0,2.3
llama-3.3-70b-versatile,C1,1,0.0,1.0,7.0,10.2
llama-3.3-70b-versatile,C2,1,1.0,1.0,8.0,5.3
llama-3.3-70b-versatile,C3,2,1.0,1.0,10.5,5.5
llama-3.3-70b-versatile,C4,1,1.0,1.0,18.0,12.5
llama3.1:8b,C1,1,0.0,0.0,3.0,94.2
llama3.1:8b,C2,1,1.0,1.0,9.0,141.4
llama3.1:8b,C3,1,1.0,1.0,6.0,191.1
llama3.1:8b,C4,1,0.0,0.0,1.0,52.0
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,C1,1,0.0,0.0,1.0,2.7
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,C3,1,0.0,0.0,0.0,1.9
meta-llama/llama-4-scout-17b-16e-instruct,C1,1,0.0,0.0,1.0,0.6
meta-llama/llama-4-scout-17b-16e-instruct,C2,1,1.0,1.0,6.0,4.3
meta-llama/llama-4-scout-17b-16e-instruct,C3,1,1.0,1.0,16.0,8.1
meta-llama/llama-4-scout-17b-16e-instruct,C4,1,1.0,1.0,14.0,5.2
mistral-large-latest,C1,1,0.0,1.0,9.0,86.1
mistral-large-latest,C2,1,1.0,1.0,6.0,133.2
mistral-large-latest,C3,1,1.0,1.0,16.0,140.2
mistral-large-latest,C4,1,0.0,0.0,10.0,46.8
mistral-small-latest,C1,1,0.0,1.0,14.0,27.7
mistral-small-latest,C2,1,1.0,1.0,6.0,16.6
mistral-small-latest,C3,1,1.0,1.0,19.0,24.3
mistral-small-latest,C4,1,1.0,1.0,22.0,40.8
mistral:7b,C1,1,0.0,0.0,1.0,73.5
mistral:7b,C2,1,1.0,1.0,5.0,349.2
mistral:7b,C3,1,1.0,1.0,10.0,246.1
mistral:7b,C4,1,0.0,0.0,1.0,85.8
mistralai/Mixtral-8x22B-Instruct-v0.1,C1,1,0.0,0.0,1.0,0.3
mistralai/Mixtral-8x22B-Instruct-v0.1,C3,1,0.0,0.0,0.0,0.5
o3-mini,C1,2,0.0,0.0,1.0,0.3
o3-mini,C2,1,0.0,0.0,5.0,0.9
o3-mini,C3,2,0.0,0.0,0.0,1.2
o3-mini,C4,1,0.0,0.0,1.0,0.3
o4-mini,C1,2,0.0,0.0,1.0,1.5
o4-mini,C2,1,0.0,0.0,5.0,1.9
o4-mini,C3,2,0.0,0.0,0.0,1.4
o4-mini,C4,1,0.0,0.0,1.0,0.3
openai/gpt-oss-120b,C1,1,0.0,1.0,40.0,278.9
openai/gpt-oss-120b,C2,1,1.0,1.0,5.0,98.9
openai/gpt-oss-120b,C3,1,1.0,1.0,18.0,81.5
openai/gpt-oss-120b,C4,1,0.0,0.0,1.0,0.7
qwen/qwen3-32b,C1,2,0.0,0.5,10.0,180.8
qwen/qwen3-32b,C2,1,1.0,1.0,6.0,41.2
qwen/qwen3-32b,C3,1,1.0,1.0,6.0,214.2
qwen/qwen3-32b,C4,1,1.0,1.0,19.0,210.9
qwen/qwen3.6-27b,C1,2,0.0,1.0,34.5,428.6
qwen/qwen3.6-27b,C2,1,1.0,1.0,6.0,37.4
qwen/qwen3.6-27b,C3,1,1.0,1.0,10.0,78.7
qwen/qwen3.6-27b,C4,1,1.0,0.0,1.0,1.2
